z,zeta,as_scale,hmf,cooling_scale,T_min,score
10.0,3.33345013223977,0.8,ST,2.0,10000.0,0.000732436383257415
10.0,3.5138265215355418,0.8,ST,2.0,10000.0,0.0008648110996076781
10.0,3.703963261376446,0.8,ST,2.0,10000.0,0.0010044476245280665
10.0,3.9043884942934204,0.8,ST,2.0,10000.0,0.001149255278178833
10.0,4.1156589411488556,0.8,ST,2.0,10000.0,0.0012970493458015764
10.0,4.338361447539279,0.8,ST,2.0,10000.0,0.0014456146828997606
10.0,4.573114613875481,0.8,ST,2.0,10000.0,0.0015928255897241098
10.0,4.820570513667911,0.8,ST,2.0,10000.0,0.0017366358918358684
10.0,5.0814165047902815,0.8,ST,2.0,10000.0,0.001875230221120727
10.0,5.356377138752477,0.8,ST,2.0,10000.0,0.002006983935141417
10.0,5.389452332657201,0.8,ST,2.0,10000.0,0.00202186634844326
10.0,5.646216173286171,0.8,ST,2.0,10000.0,0.002130508291087032
10.0,5.9517386938335095,0.8,ST,2.0,10000.0,0.0022446647917052512
10.0,6.273793349831704,0.8,ST,2.0,10000.0,0.0023485499092734258
10.0,6.613274712005288,0.8,ST,2.0,10000.0,0.0024415345114527677
10.0,6.971125757213828,0.8,ST,2.0,10000.0,0.0025231602480777853
10.0,7.3483404877573175,0.8,ST,2.0,10000.0,0.0025932551587122907
10.0,7.745966692414836,0.8,ST,2.0,10000.0,0.002651740209138761
10.0,8.165108856885828,0.8,ST,2.0,10000.0,0.002698746457534086
10.0,8.606931231718361,0.8,ST,2.0,10000.0,0.0027345814824604
10.0,9.072661066246061,0.8,ST,2.0,10000.0,0.0027596101599868597
10.0,9.563592017516726,0.8,ST,2.0,10000.0,0.0027743207857670632
10.0,10.081087743681516,0.8,ST,2.0,10000.0,0.0027792825227355234
10.0,10.626585691826111,0.8,ST,2.0,10000.0,0.0027751042940045417
10.0,11.20160109076529,0.8,ST,2.0,10000.0,0.002762419329339375
10.0,11.807731159891665,0.8,ST,2.0,10000.0,0.002741937795444423
10.0,12.446659545769569,0.8,ST,2.0,10000.0,0.0027143197214131755
10.0,13.120160998797505,0.8,ST,2.0,10000.0,0.0026802604848545925
10.0,13.830106302929654,0.8,ST,2.0,10000.0,0.002640441980796787
10.0,14.578467472149546,0.8,ST,2.0,10000.0,0.002595512187334918
10.0,15.367323228130308,0.8,ST,2.0,10000.0,0.0025461044420042726
10.0,16.198864774296695,0.8,ST,2.0,10000.0,0.00249283027537713
10.0,17.07540188232742,0.8,ST,2.0,10000.0,0.0024362722687218436
10.0,17.999369308004486,0.8,ST,2.0,10000.0,0.0023769434794850483
10.0,18.973333554230518,0.8,ST,2.0,10000.0,0.0023153685615925988
10.0,20.000000000000004,0.8,ST,2.0,10000.0,0.002252015642262959
10.0,3.0,0.8,ST,2.0,15000.0,0.00031036287508659396
10.0,3.1623330622689494,0.8,ST,2.0,15000.0,0.00038883399534831706
10.0,3.33345013223977,0.8,ST,2.0,15000.0,0.0004767391311822457
10.0,3.5138265215355418,0.8,ST,2.0,15000.0,0.0005731524081607756
10.0,3.703963261376446,0.8,ST,2.0,15000.0,0.0006768510744792505
10.0,3.9043884942934204,0.8,ST,2.0,15000.0,0.0007863837562008859
10.0,4.1156589411488556,0.8,ST,2.0,15000.0,0.0009001460407264758
10.0,4.338361447539279,0.8,ST,2.0,15000.0,0.0010164337759906807
10.0,4.573114613875481,0.8,ST,2.0,15000.0,0.001133543517672675
10.0,4.820570513667911,0.8,ST,2.0,15000.0,0.0012497741399955348
10.0,5.0814165047902815,0.8,ST,2.0,15000.0,0.001363557410516121
10.0,5.356377138752477,0.8,ST,2.0,15000.0,0.0014734411336467554
10.0,5.389452332657201,0.8,ST,2.0,15000.0,0.001485965060966717
10.0,5.646216173286171,0.8,ST,2.0,15000.0,0.0015781321397671177
10.0,5.9517386938335095,0.8,ST,2.0,15000.0,0.0016765164736724616
10.0,6.273793349831704,0.8,ST,2.0,15000.0,0.0017676669244898185
10.0,6.613274712005288,0.8,ST,2.0,15000.0,0.001850870738063944
10.0,6.971125757213828,0.8,ST,2.0,15000.0,0.0019255607271794174
10.0,7.3483404877573175,0.8,ST,2.0,15000.0,0.0019914103427818124
10.0,7.745966692414836,0.8,ST,2.0,15000.0,0.0020481781913922535
10.0,8.165108856885828,0.8,ST,2.0,15000.0,0.002095810827464056
10.0,8.606931231718361,0.8,ST,2.0,15000.0,0.002134420229918147
10.0,9.072661066246061,0.8,ST,2.0,15000.0,0.0021641764470375084
10.0,9.563592017516726,0.8,ST,2.0,15000.0,0.002185367877352073
10.0,10.081087743681516,0.8,ST,2.0,15000.0,0.0021983695504671033
10.0,10.626585691826111,0.8,ST,2.0,15000.0,0.0022036036913691244
10.0,11.20160109076529,0.8,ST,2.0,15000.0,0.0022015245497043912
10.0,11.807731159891665,0.8,ST,2.0,15000.0,0.0021926692406408843
10.0,12.446659545769569,0.8,ST,2.0,15000.0,0.0021775425959330353
10.0,13.120160998797505,0.8,ST,2.0,15000.0,0.0021566864653791134
10.0,13.830106302929654,0.8,ST,2.0,15000.0,0.0021306483828890254
10.0,14.578467472149546,0.8,ST,2.0,15000.0,0.0020999511348108483
10.0,15.367323228130308,0.8,ST,2.0,15000.0,0.0020651136974080726
